entity,label,count
202,CARDINAL,11
fannie mae freddie mac,ORG,11
2002,DATE,11
3 year,DATE,11
1002,DATE,11
78,CARDINAL,11
national bank,ORG,11
15 usc,DATE,11
41,CARDINAL,10
78o,DATE,10
6 month,DATE,10
2 3,CARDINAL,10
35,CARDINAL,10
205,CARDINAL,10
25,CARDINAL,10
2h,CARDINAL,10
1978,DATE,10
2c,CARDINAL,10
prac,CARDINAL,10
democratic republic congo,GPE,9
2 year,DATE,9
chapter 5,LAW,9
later 2 year date,DATE,9
1935,CARDINAL,9
nov 24 2008 1846,DATE,9
section 805a,LAW,9
securi,ORG,9
1813q,DATE,9
206b grammleachbliley,QUANTITY,9
115,CARDINAL,9
5b,CARDINAL,8
1461,DATE,8
3year,CARDINAL,8
section 1a,LAW,8
3b,CARDINAL,8
1024 1025 1026,DATE,8
sipc,PERSON,8
1631,DATE,8
day,DATE,8
1989 12 usc,DATE,8
78o7,CARDINAL,8
250000,CARDINAL,8
5 year date,DATE,8
later 60 day,DATE,8
27,CARDINAL,8
1933 15 usc 77a,DATE,8
1974 12 usc,DATE,8
1934section,CARDINAL,8
90day,DATE,8
5 6,CARDINAL,8
22,CARDINAL,8
federal deposit insurance act appropriate,ORG,7
hud,ORG,7
epublawpubl203111,ORG,7
4c,CARDINAL,7
4d,CARDINAL,7
1940section,CARDINAL,7
1989,DATE,7
929,CARDINAL,7
condi tions,PERSON,7
1811,DATE,7
2 2,CARDINAL,7
1933,CARDINAL,7
404b,PRODUCT,7
section 101,LAW,7
supreme court,ORG,7
section 13,LAW,7
26,CARDINAL,7
later 270 day,DATE,7
4b,CARDINAL,7
29,CARDINAL,7
313,CARDINAL,7
1632,DATE,7
343,CARDINAL,7
314,CARDINAL,7
204,CARDINAL,7
80b1,CARDINAL,7
quarterly,DATE,7
2003,DATE,7
129b,CARDINAL,7
federal reserve act,ORG,7
20,CARDINAL,7
25 25a,DATE,7
1933section,CARDINAL,7
102,CARDINAL,7
1601,DATE,7
3 2,CARDINAL,7
1971,DATE,7
6a,CARDINAL,7
1934 15 usc 78ca,DATE,6
1958,DATE,6
50 percent,PERCENT,6
15b,CARDINAL,6
section 3b3,LAW,6
chapter 2,LAW,6
chapter 31,LAW,6
commodity exchange,ORG,6
6d,CARDINAL,6
5301,DATE,6
1978 5,DATE,6
1000000,CARDINAL,6
30day,CARDINAL,6
national credit union administration,ORG,6
60day,DATE,6
5a,CARDINAL,6
associ,ORG,6
card bank trust bank,ORG,6
1989 12,DATE,6
552a,PRODUCT,6
180 day,DATE,6
414,CARDINAL,6
united state district court,ORG,6
later 30 month,DATE,6
80b2,CARDINAL,6
stability united state,ORG,6
later 9 month,DATE,6
106,CARDINAL,6
house,ORG,6
2a1,CARDINAL,6
217,CARDINAL,6
1029a,DATE,6
6month,CARDINAL,6
1115 123,DATE,6
78o,PERSON,6
305a2,CARDINAL,6
1974 29,DATE,6
371c,PRODUCT,6
gao study,PERSON,5
3c,CARDINAL,5
ten,CARDINAL,5
165a,PRODUCT,5
3 percent,PERCENT,5
english,LANGUAGE,5
united state bank,ORG,5
section 6,LAW,5
general united state,ORG,5
78n,DATE,5
44,CARDINAL,5
1 5,CARDINAL,5
7a,CARDINAL,5
100,CARDINAL,5
section 12,LAW,5
january 1 2010,DATE,5
5d,CARDINAL,5
129e,PRODUCT,5
129b,PRODUCT,5
100000,CARDINAL,5
371,CARDINAL,5
1691,DATE,5
129d,PRODUCT,5
1 7,CARDINAL,5
federal home loan mortgage corporation,ORG,5
1968 12,DATE,5
1813b2,CARDINAL,5
section 15a,LAW,5
1256,DATE,5
25a,CARDINAL,5
1813b3,CARDINAL,5
1031,DATE,5
1751,DATE,5
1454a2,CARDINAL,5
1841c2,CARDINAL,5
1982,DATE,5
65,CARDINAL,5
later 360 day,DATE,5
member bank federal reserve system national bank,ORG,5
prudential standard nonbank financial company supervise board,ORG,5
2008 12 usc,DATE,5
206,CARDINAL,5
section 3c,LAW,5
202a,CARDINAL,5
prudential regulator,ORG,5
lien,PERSON,5
741,CARDINAL,5
611,CARDINAL,5
section 4c,LAW,5
later 10 day,DATE,5
90 percent,PERCENT,5
19,CARDINAL,5
national security association,ORG,5
1e,CARDINAL,5
80a3,CARDINAL,5
later 12 month,DATE,5
1973,DATE,5
214,CARDINAL,5
1968 12 usc 1701x,DATE,5
209,CARDINAL,5
1994,DATE,5
later 120 day,DATE,5
1968,DATE,5
206b grammleachbliley act,QUANTITY,5
12 usc 2001,DATE,5
210,CARDINAL,4
1828,DATE,4
2c2di,CARDINAL,4
2bi,ORDINAL,4
601,CARDINAL,4
section 6b,LAW,4
standard national bank,ORG,4
later 3 year date,DATE,4
105,CARDINAL,4
later 24 month,DATE,4
sixth,ORDINAL,4
later 24 hour,TIME,4
2d,CARDINAL,4
3 5,CARDINAL,4
3503,CARDINAL,4
6 year,DATE,4
21 2010 1,DATE,4
3 32,CARDINAL,4
1467a,DATE,4
recommenda tions,PERSON,4
3 year date,DATE,4
989,CARDINAL,4
sys,ORG,4
national bank federal saving association federal branch federal agency foreign bank,ORG,4
213,CARDINAL,4
211,CARDINAL,4
939,CARDINAL,4
603,CARDINAL,4
1752,DATE,4
111,CARDINAL,4
2010 3,DATE,4
30day,DATE,4
5year,CARDINAL,4
1025,DATE,4
13a,DATE,4
section 1025,LAW,4
68,CARDINAL,4
626,CARDINAL,4
finan cial service house,ORG,4
621,CARDINAL,4
section 10,LAW,4
103,CARDINAL,4
mittee financial service house,ORG,4
2000,CARDINAL,4
section 106,LAW,4
1817,DATE,4
section 1062,LAW,4
2 year date,DATE,4
994,CARDINAL,4
2 percent,PERCENT,4
312,CARDINAL,4
301,CARDINAL,4
insert comptroller,PERSON,4
1100,DATE,4
fourth,ORDINAL,4
167,CARDINAL,4
12 usc,DATE,4
chapter 71,LAW,4
801,CARDINAL,4
1463,DATE,4
chapter 84,LAW,4
1f,CARDINAL,4
1000000000,CARDINAL,4
375,CARDINAL,4
chapter 87,LAW,4
cial company supervise board,ORG,4
national security exchange,ORG,4
19b,CARDINAL,4
802,CARDINAL,4
1502,DATE,4
1998,DATE,4
1000,CARDINAL,4
3a77,CARDINAL,4
1989 12 usc 3331,DATE,4
northern mariana,LOC,4
1989 12 usc 3351,DATE,4
15 usc,MONEY,4
1990,DATE,4
1991,DATE,4
1462,DATE,4
section 1a9,LAW,4
section 18,LAW,4
5102,DATE,4
1105,DATE,4
1956 12 usc 1843k,DATE,4
1977,DATE,4
section 21f security exchange,LAW,4
securi tie exchange commission,ORG,4
804,CARDINAL,4
section 1a18,LAW,4
section 3q,LAW,4
714,CARDINAL,4
section 38,LAW,4
24 2008 1533,DATE,4
718,CARDINAL,4
united state board,ORG,4
1977 30,DATE,4
united state code ii,ORG,4
404,CARDINAL,4
1974 42,DATE,4
50000,CARDINAL,4
district columbia,GPE,4
919,CARDINAL,4
45c3aii,CARDINAL,4
1956 12 usc,DATE,4
921,CARDINAL,4
united state sentence commission,ORG,4
section 21f,LAW,4
chapter 15,LAW,4
1975,DATE,4
324,CARDINAL,3
315,CARDINAL,3
321,CARDINAL,3
322,CARDINAL,3
3518c1,CARDINAL,3
330day,DATE,3
332,CARDINAL,3
3401,DATE,3
341,PRODUCT,3
financial serv ice house,ORG,3
3 4,CARDINAL,3
311,CARDINAL,3
3101,DATE,3
fiscal year 2012,DATE,3
fiscal year 2012 fiscal year,DATE,3
2h7,CARDINAL,3
7c,CARDINAL,3
insert bureau,PERSON,3
insert comptroller currency,PERSON,3
2706,DATE,3
insert comptroller ii,PERSON,3
25 percent,PERCENT,3
insert follow,PERSON,3
25000000,CARDINAL,3
mem,ORG,3
248,CARDINAL,3
24 2008 1846,DATE,3
1404,DATE,3
212,CARDINAL,3
later 2 year,DATE,3
later 21 day,DATE,3
later 3 day,DATE,3
210b,CARDINAL,3
210,PRODUCT,3
208,CARDINAL,3
203b,CARDINAL,3
366,CARDINAL,3
201,PRODUCT,3
2007,DATE,3
2002 15 usc,DATE,3
month,DATE,3
national housing act,ORG,3
1a20,CARDINAL,3
1991 12 usc,DATE,3
1985,DATE,3
nov 24 2008 1632,DATE,3
1956 12 usc 1843,DATE,3
1940 15 usc,DATE,3
2601,CARDINAL,3
13b,DATE,3
25a,DATE,3
1061,DATE,3
section 5a,LAW,3
united state code paragraph shall,ORG,3
1011,DATE,3
106e,CARDINAL,3
seq ii security exchange,ORG,3
100000000,CARDINAL,3
united state commission,ORG,3
1101,DATE,3
year 25,DATE,3
1043,DATE,3
united state agency,ORG,3
1045,DATE,3
1035,DATE,3
129a,PRODUCT,3
1 year date,DATE,3
110,CARDINAL,3
united state code authority,ORG,3
129c,PRODUCT,3
september 30,DATE,3
section 5136,LAW,3
21a1,CARDINAL,3
129f,CARDINAL,3
1083,DATE,3
1405,DATE,3
112,CARDINAL,3
mar keting,PERSON,3
united state iii,ORG,3
1 additional year,DATE,3
twelve month,DATE,3
10 year,DATE,3
usc,ORG,3
13p,CARDINAL,3
section 7,LAW,3
133,CARDINAL,3
122,CARDINAL,3
1 2010,DATE,3
1301,DATE,3
1029,DATE,3
1 2,QUANTITY,3
united state united state court,ORG,3
121,CARDINAL,3
130,CARDINAL,3
1024,DATE,3
120,CARDINAL,3
united state obligation guarantee,ORG,3
united state district court district columbia,ORG,3
215,CARDINAL,3
917,CARDINAL,3
judiciary house,ORG,3
761,CARDINAL,3
15c3,CARDINAL,3
1464,DATE,3
section 133,LAW,3
resolution house,ORG,3
rico,CARDINAL,3
1821,DATE,3
section 140,LAW,3
15e,CARDINAL,3
section 1411,LAW,3
807,CARDINAL,3
1934 15 usc 78ob,DATE,3
5 year 2,DATE,3
84b,CARDINAL,3
521,CARDINAL,3
5201,DATE,3
5101,DATE,3
78d,DATE,3
8a5,CARDINAL,3
501,CARDINAL,3
8a,CARDINAL,3
50000000,CARDINAL,3
85 percent,PERCENT,3
165,CARDINAL,3
section 10153d,LAW,3
17a,CARDINAL,3
1867c,DATE,3
911,CARDINAL,3
1815,DATE,3
80a1,PRODUCT,3
1933 15 usc 77fb,DATE,3
section 312,LAW,3
1812,DATE,3
180day,DATE,3
1492,DATE,3
153,CARDINAL,3
152,CARDINAL,3
secondary,ORDINAL,3
1468,DATE,3
section 165,LAW,3
1639,DATE,3
806,CARDINAL,3
166,CARDINAL,3
section 1105,LAW,3
1681s3,DATE,3
1681,DATE,3
15,DATE,3
prudential regulator federal agency,ORG,3
50,CARDINAL,3
section 15b,LAW,3
5 percent,PERCENT,3
923,CARDINAL,3
704b,PRODUCT,3
701,CARDINAL,3
936,CARDINAL,3
77,CARDINAL,3
632,CARDINAL,3
624,CARDINAL,3
623,CARDINAL,3
619,CARDINAL,3
60day,CARDINAL,3
607,CARDINAL,3
5th,ORDINAL,3
5c5,CARDINAL,3
5ag,ORDINAL,3
57a,DATE,3
552b3,CARDINAL,3
78d,CARDINAL,3
39,CARDINAL,3
3801,DATE,3
1934 15 usc 78sb,DATE,3
206b,PRODUCT,3
4r,CARDINAL,3
71,CARDINAL,3
615,CARDINAL,3
728,CARDINAL,3
3d,CARDINAL,3
federal credit union,ORG,3
729,CARDINAL,3
49,CARDINAL,3
48,CARDINAL,3
436,CARDINAL,3
dian,NORP,3
403,CARDINAL,3
402,CARDINAL,3
4 5,CARDINAL,3
78ua1,PRODUCT,3
814,CARDINAL,3
3ca1,CARDINAL,3
54,CARDINAL,3
918,CARDINAL,3
3a78,CARDINAL,3
916,CARDINAL,3
742,CARDINAL,3
january 1 2013,DATE,3
chairperson council,ORG,3
chapter 33,LAW,3
chapter 53,LAW,3
989e,PRODUCT,2
al 517,ORG,2
965,CARDINAL,2
united state district court court,ORG,2
989a,PRODUCT,2
united state district columbia,GPE,2
989b,PRODUCT,2
989c,PRODUCT,2
989d,PRODUCT,2
5h,CARDINAL,2
975,CARDINAL,2
989f,PRODUCT,2
5c,CARDINAL,2
989j,PRODUCT,2
991,CARDINAL,2
9a,CARDINAL,2
9e 42 usc 1437ge ii,DATE,2
agreementsno predispute,PERSON,2
988,CARDINAL,2
987,CARDINAL,2
986,CARDINAL,2
609,CARDINAL,2
606,CARDINAL,2
962,CARDINAL,2
944,PRODUCT,2
939a,PRODUCT,2
961,CARDINAL,2
966,CARDINAL,2
610,CARDINAL,2
963,CARDINAL,2
609f2a,CARDINAL,2
964,CARDINAL,2
946,PRODUCT,2
945,PRODUCT,2
618,CARDINAL,2
939h,PRODUCT,2
939b,PRODUCT,2
622,CARDINAL,2
939d,CARDINAL,2
939d,PRODUCT,2
939e,PRODUCT,2
939f,PRODUCT,2
6579,DATE,2
620,CARDINAL,2
628,CARDINAL,2
627,CARDINAL,2
625,CARDINAL,2
united state ii,ORG,2
605,CARDINAL,2
1303,DATE,2
604,CARDINAL,2
1514a,DATE,2
1202,DATE,2
secretary treasury,ORG,2
1975 12 usc,DATE,2
1475,DATE,2
1476,DATE,2
1481,CARDINAL,2
1124,DATE,2
1974 29 usc 1002,DATE,2
1304,DATE,2
1482,DATE,2
1974 12 usc 2605,DATE,2
968,CARDINAL,2
1483,DATE,2
1484,DATE,2
1491,DATE,2
section 17,LAW,2
1493,DATE,2
1494,CARDINAL,2
npv,ORG,2
123,CARDINAL,2
957,PRODUCT,2
1465,DATE,2
1118,DATE,2
1817b2,CARDINAL,2
154,CARDINAL,2
section ii,LAW,2
971,PRODUCT,2
972,CARDINAL,2
976,CARDINAL,2
985,CARDINAL,2
977,CARDINAL,2
978,CARDINAL,2
981,CARDINAL,2
982,CARDINAL,2
983,CARDINAL,2
984,PRODUCT,2
1100h,DATE,2
80a2,PRODUCT,2
15ak,ORDINAL,2
section 301,LAW,2
1474,DATE,2
1473,DATE,2
1472,DATE,2
1122,CARDINAL,2
1471,DATE,2
1939 15,DATE,2
1465 12,DATE,2
612,CARDINAL,2
chapter 83,LAW,2
956,CARDINAL,2
527,PRODUCT,2
5136c,CARDINAL,2
512,CARDINAL,2
511,CARDINAL,2
5109,CARDINAL,2
committee bank housing urban affair senate committee,ORG,2
united state code iii,ORG,2
51 percent,PERCENT,2
committee bank housing urban affair senate committee financial serv ice house,ORG,2
505,CARDINAL,2
525,CARDINAL,2
69,CARDINAL,2
531,PRODUCT,2
chapter 89,LAW,2
asia europe,LOC,2
541,CARDINAL,2
bank saving association credit union,ORG,2
ben,ORG,2
chapter 11,LAW,2
533,CARDINAL,2
chapter 3,LAW,2
chapter 35,LAW,2
532,CARDINAL,2
522,CARDINAL,2
523,CARDINAL,2
524,CARDINAL,2
chapter 90,LAW,2
77d,DATE,2
78c,CARDINAL,2
78a,DATE,2
9 13,CARDINAL,2
77va,FAC,2
77q,CARDINAL,2
90,CARDINAL,2
77ca8,CARDINAL,2
771,CARDINAL,2
901,CARDINAL,2
903,CARDINAL,2
77b,CARDINAL,2
77aaa,CARDINAL,2
774,CARDINAL,2
773,PRODUCT,2
6c1,CARDINAL,2
938,CARDINAL,2
415,CARDINAL,2
526,CARDINAL,2
chapter 89a,LAW,2
chapter 89b,LAW,2
chapter 51,LAW,2
5305a20,CARDINAL,2
954,CARDINAL,2
4b 6,CARDINAL,2
5 year ii,DATE,2
united state code effect date enactment,ORG,2
1 2011,DATE,2
1 2year,CARDINAL,2
5 business day,DATE,2
5,DATE,2
491b1fiii,CARDINAL,2
united state code bureau,ORG,2
4fa3,CARDINAL,2
4dc,ORDINAL,2
4ab,ORDINAL,2
chapter 7 title,LAW,2
4aa,ORDINAL,2
april 30,DATE,2
5481,CARDINAL,2
amendment federal trade commission,ORG,2
608,CARDINAL,2
616,PRODUCT,2
951,CARDINAL,2
615e,CARDINAL,2
952,CARDINAL,2
953,CARDINAL,2
1 2 3,CARDINAL,2
consulta tion board,ORG,2
1 day,DATE,2
481,CARDINAL,2
1109a,DATE,2
502,CARDINAL,2
condi tionally,PERSON,2
500000,CARDINAL,2
500 pm eastern time,TIME,2
december 1 2007 end date,DATE,2
47,CARDINAL,2
december 2008,DATE,2
december 31,DATE,2
46,DATE,2
46,CARDINAL,2
45 day,DATE,2
national security association federal state legal,ORG,2
1 fiscal year,DATE,2
4301,DATE,2
determination council,ORG,2
42 usc,DATE,2
42,DATE,2
1 ii,QUANTITY,2
416,CARDINAL,2
dealersa future commission,ORG,2
1650,DATE,2
1948,DATE,2
130e,PRODUCT,2
1406,CARDINAL,2
18 month,DATE,2
section 107,LAW,2
12 usc,QUANTITY,2
1604,DATE,2
section 1026,LAW,2
section 1301,LAW,2
140000,CARDINAL,2
1103,DATE,2
section 103aa4,LAW,2
1933 15 usc 77s,DATE,2
1933 15 usc 77fb section 24f,DATE,2
175,CARDINAL,2
176,CARDINAL,2
prudential regulator commission security exchange commission,ORG,2
1102,DATE,2
section 4c1,LAW,2
native american,NORP,2
1411,DATE,2
section 104e,LAW,2
1412,CARDINAL,2
1413,DATE,2
1414,CARDINAL,2
1934 15 usc 78ee,DATE,2
1607,DATE,2
161,CARDINAL,2
section 10132,LAW,2
18c,DATE,2
1419,DATE,2
1996 25 usc,DATE,2
1995,DATE,2
1934 15 usc 78aa,DATE,2
1421,DATE,2
1422,DATE,2
section 8706b1a,LAW,2
nonbank financial company bank,ORG,2
1638,DATE,2
1431,DATE,2
1103a,DATE,2
171,CARDINAL,2
1104,CARDINAL,2
128a,LAW,2
1418,DATE,2
163,CARDINAL,2
162,CARDINAL,2
nonbank financial company supervise board,ORG,2
1432,DATE,2
1433,DATE,2
1417,DATE,2
nelson,PERSON,2
1452,DATE,2
1437uc4,PRODUCT,2
section 3a,LAW,2
1442,DATE,2
section 609f1,LAW,2
section 10c,LAW,2
prudential regulator receive,ORG,2
section 11,LAW,2
1443,DATE,2
1108,CARDINAL,2
1444,DATE,2
section 3553a2,LAW,2
118,CARDINAL,2
174,CARDINAL,2
12 percent,PERCENT,2
prudential,ORG,2
1437pa4d,PRODUCT,2
section 5240,LAW,2
1603,DATE,2
1602,DATE,2
1400,CARDINAL,2
15th day,DATE,2
1707,DATE,2
767,PRODUCT,2
1934sec,CARDINAL,2
section 10a,LAW,2
section 108,LAW,2
1441,DATE,2
1415,DATE,2
164,CARDINAL,2
1416,DATE,2
section 130,LAW,2
173,CARDINAL,2
1787,DATE,2
1787k1,DATE,2
1640,DATE,2
172,CARDINAL,2
section 1027a2a,LAW,2
180,CARDINAL,2
section 102,LAW,2
section 5200b,LAW,2
1106,DATE,2
section 731,LAW,2
section 13p,LAW,2
1702,DATE,2
1934 15 usc 78x,DATE,2
1107,DATE,2
previous year,DATE,2
1201,DATE,2
1989 12 usc 1811,DATE,2
12a,DATE,2
1445,DATE,2
1503,DATE,2
1982 12,DATE,2
155,CARDINAL,2
125,CARDINAL,2
section 311,LAW,2
season,DATE,2
1495,DATE,2
1640e,DATE,2
1504,DATE,2
1205,DATE,2
1206,CARDINAL,2
15 usc 1681me,MONEY,2
115c,CARDINAL,2
recommenda,GPE,2
section 1256,LAW,2
1505,DATE,2
1965,DATE,2
116,CARDINAL,2
15 usc 1681a,DATE,2
section 1204c,DATE,2
1506,CARDINAL,2
1667,DATE,2
section 128,LAW,2
1693o,DATE,2
prudential standard,ORG,2
1937,DATE,2
1983,DATE,2
1451,DATE,2
1450,DATE,2
1986 3,DATE,2
1449,DATE,2
1448,DATE,2
section notify federal deposit insurance corporation,ORG,2
18ac8,CARDINAL,2
prudential regulator state bank,ORG,2
section 15,LAW,2
1447,DATE,2
170,CARDINAL,2
1446,DATE,2
15a7,CARDINAL,2
securi tie exchange,ORG,2
section 325,LAW,2
156,CARDINAL,2
1302,DATE,2
section 5136b,LAW,2
section notify federal deposit insurance corporation finding ii,ORG,2
section 15b11,LAW,2
1983 12,DATE,2
15 usc 1691b,DATE,2
129h,PRODUCT,2
15 usc 1693a,DATE,2
168,CARDINAL,2
1940 15 usc 80a30,DATE,2
1497,DATE,2
1692,DATE,2
section 17a,LAW,2
1496,DATE,2
respec,GPE,2
1203,DATE,2
section 5b,LAW,2
114,CARDINAL,2
135 percent,PERCENT,2
prudential standard pursuant authority,ORG,2
1208,DATE,2
1940section 211,CARDINAL,2
15 usc 1601,DATE,2
1861,DATE,2
1966,DATE,2
1207,CARDINAL,2
residen,PERSON,2
section 23a,LAW,2
section 230215,LAW,2
section 2301b,LAW,2
1498,DATE,2
14a,CARDINAL,2
1306,DATE,2
section 17e1a,LAW,2
publica tion,PERSON,2
section 203,LAW,2
1501,CARDINAL,2
117,CARDINAL,2
section 202a11,LAW,2
section 2023,LAW,2
1956,CARDINAL,2
15 usc 78i,DATE,2
section 1b,LAW,2
section 19b1a,LAW,2
1841p,DATE,2
quarter,CARDINAL,2
section 19,LAW,2
1667f,DATE,2
rtc,ORG,2
section 2a,LAW,2
169,CARDINAL,2
october 1 2010,DATE,2
15 day,DATE,2
1305,DATE,2
1209,DATE,2
768,PRODUCT,2
542,CARDINAL,2
766,PRODUCT,2
1096,DATE,2
207,CARDINAL,2
1091,DATE,2
1092,DATE,2
206a grammleachbliley,QUANTITY,2
20642 17,DATE,2
205e,CARDINAL,2
later later 90 day,DATE,2
1094,DATE,2
204d,PRODUCT,2
sipc ii,PERSON,2
1097,DATE,2
1088,DATE,2
1098,DATE,2
1098a,DATE,2
later 90 day end,DATE,2
21 2010 2,DATE,2
march 31,DATE,2
later 7 business day date,DATE,2
1077,DATE,2
1078,CARDINAL,2
1079,DATE,2
1079a,DATE,2
207k1,CARDINAL,2
general united state shall submit committee bank housing urban affair senate committee financial service house,ORG,2
individualsany,NORP,2
362,CARDINAL,2
336,CARDINAL,2
federal reserve act amendment,ORG,2
federal reserve act amendment federal reserve bank,ORG,2
335,CARDINAL,2
357,CARDINAL,2
359,CARDINAL,2
36,CARDINAL,2
36 month,DATE,2
360,CARDINAL,2
361,CARDINAL,2
363,CARDINAL,2
2c2d,CARDINAL,2
364,CARDINAL,2
1001,DATE,2
367,CARDINAL,2
368,CARDINAL,2
369,CARDINAL,2
36a1,CARDINAL,2
370,CARDINAL,2
371a,PRODUCT,2
10000000000 less ii,QUANTITY,2
353,CARDINAL,2
107a,PRODUCT,2
stability united state bank,ORG,2
210c,CARDINAL,2
2002 2,DATE,2
1b7,CARDINAL,2
2 day,DATE,2
2 predispute,QUANTITY,2
2010 2,DATE,2
national association insurance,ORG,2
10a,CARDINAL,2
matu,CARDINAL,2
2008 4,DATE,2
2008 12 usc 1701x,DATE,2
10b,DATE,2
2002 15 usc 7211,DATE,2
1081,DATE,2
memo randum,PERSON,2
200000000,CARDINAL,2
20000,CARDINAL,2
2000 7,DATE,2
2000 2,DATE,2
200,CARDINAL,2
20 day,DATE,2
2 third,CARDINAL,2
1075,DATE,2
1074,DATE,2
1c,CARDINAL,2
1100f,DATE,2
1100e,DATE,2
1100d,DATE,2
later 30 day date,DATE,2
1082,DATE,2
later 45 day,DATE,2
spanish,NORP,2
spanish,LANGUAGE,2
later 6 month date,DATE,2
1085,DATE,2
2010 8,DATE,2
1099,DATE,2
generalif bureau,ORG,2
10year,CARDINAL,2
2 7,DATE,2
national credit union,ORG,2
2 5,CARDINAL,2
2 4,DATE,2
national credit union administration board,ORG,2
1100a,DATE,2
2,PRODUCT,2
1100b,DATE,2
1100c,DATE,2
1to4,CARDINAL,2
1013,DATE,2
1012,DATE,2
371c 1,PRODUCT,2
foreign bank federal branch federal agency,ORG,2
1032,DATE,2
1021,DATE,2
1022,DATE,2
g inspector general act,ORG,2
30 percent,PERCENT,2
3 day,DATE,2
gao audit federal reserve facility publication board,ORG,2
30 year,DATE,2
300,CARDINAL,2
gao study,ORG,2
1034,DATE,2
1037,DATE,2
334,CARDINAL,2
302,CARDINAL,2
1036,DATE,2
302,PRODUCT,2
florida,GPE,2
1028,DATE,2
1027,DATE,2
308b,PRODUCT,2
1026,DATE,2
3 3,CARDINAL,2
3201,DATE,2
32e4 42,PRODUCT,2
2h8b,CARDINAL,2
327,CARDINAL,2
748,CARDINAL,2
3132,CARDINAL,2
supreme court united state,ORG,2
2p,CARDINAL,2
101e,CARDINAL,2
3338a,DATE,2
316,CARDINAL,2
financial protection bureau,ORG,2
319,CARDINAL,2
1015,DATE,2
general fund treasury,ORG,2
